Google_Maps_type,Google_Place_type,Activity_type,Area,Covered_area,Workers_place,Workers_area
computer_service,service,,,,,
refrigerator_repair_service,service,,,,,
commercial_refrigeration,service,,,,,
electric_motor_repair_shop,service,,,,,
appliance_repair_service,service,,,,,
house_cleaning_service,service,,,,,
swimming_pool_contractor,service,,,,,
civil_engineer,service,,,,4,0
cremation_service,service,,,,,
shipping_company,shipping_company,3,300,80,0,30
shoe_store,shoe_store,3,80,100,0,20
shopping_mall,shopping_mall,3,100,90,0,25
social_services_organization,social_services_organization,3,300,90,0,30
occupational_safety_and_health,social_services_organization,,,,,
spa,spa,2,150,80,0,25
sports_club,sports_club,2,5000,30,0,200
soccer_club,sports_club,,,,,
sports_complex,sports_complex,2,3000,20,6,0
soccer_field,sports_complex,,2000,7,4,0
futsal_field,sports_complex,,2000,5,4,0
recreation_center,sports_complex,,1000,20,2,0
sports_school,sports_school,2,1000,20,6,0
dance_school,sports_school,,200,100,4,0
martial_arts_school,sports_school,,200,100,4,0
stadium,stadium,2,15000,10,2,0
storage,storage,1,400,90,0,80
wholesaler,storage,,100,100,0,25
pharmaceutical_products_wholesaler,storage,,,,0,30
beauty_product_supplier,storage,,,,,
food_manufacturing_supply,storage,,,,,
food_products_supplier,storage,,,,,
beer_distributor,storage,,300,90,,
bottled_water_supplier,storage,,,,,
store,store,3,80,100,4,0
general_store,store,,,,,
cell_phone_store,store,,,,0,20
cleaning_products_supplier,store,,50,100,3,0
fashion_accessories_store,store,,60,100,3,0
handicraft,store,,,,,
toy_store,store,,,,0,20
gift_shop,store,,60,100,0,40
mobile_phone_repair_shop,store,,50,100,4,0
print_shop,store,,,,0,20
sporting_goods_store,store,,,,,
health_and_beauty_shop,store,,,,,
tattoo_shop,store,,50,100,2,0
garden_center,store,,,,0,60
cell_phone_accessory_store,store,,50,100,2,0
frozen_food_store,store,,,,3,0
electrical_supply_store,store,,,,0,30
car_accessories_store,store,,,,0,30
diaper_service,store,,,,,
painting,store,,,,,
plant_nursery,store,,,,,
cosmetics_store,store,,,,,
auto_parts_store,store,,,,0,40
leather_goods_store,store,,,,,
notions_store,store,,,,,
tobacco_shop,store,,60,100,,
pasta_shop,store,,,,,
craft_store,store,,,,,
fishing_store,store,,,,,
glass_shop,store,,,,,
contact_lenses_supplier,store,,60,100,,
glass_and_mirror_shop,store,,60,100,,
ice_supplier,store,,40,100,,
medical_supply_store,store,,,,,
trophy_shop,store,,,,,
appliance_parts_supplier,store,,,,0,40
vitamin_and_supplements_store,store,,,,0,35
solar_energy_equipment_supplier,store,,,,,
hydraulic_equipment_supplier,store,,,,,
machine_shop,store,,,,,
musical_instrument_repair_shop,store,,,,,
medical_equipment_supplier,store,,,,0,35
hunting_and_fishing_store,store,,,,,
telecommunications_equipment_supplier,store,,,,0,20
beauty_supply_store,store,,,,0,20
gas_cylinders_supplier,store,,,,,
optician,store,,,,4,0
supermarket,supermarket,3,900,80,0,40
taxi_stand,taxi_stand,3,40,0,1,0
telecommunications_service_provider,telecommunications_service_provider,3,400,50,0,25
tourist_attraction,tourist_attraction,2,2000,10,1,0
train_station,train_station,3,100,0,2,0
travel_agency,travel_agency,3,100,80,0,25
university,university,1,11000,90,0,10
veterinary_care,veterinary_care,3,100,80,0,25
pet_groomer,veterinary_care,,,,,
